Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%)
ITAICABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;92;90;98%;26%;14%;59%;64%;78;79;;77;57;52;72;66;77;91;94;67;53;39
ITAITINGA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;858;716;83%;26%;23%;50%;61%;72;78;99;83;46;52;60;64;64;84;73;62;38;37
ITAPAJE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;632;593;94%;20%;27%;52%;62%;78;79;106;83;49;47;67;63;64;83;75;66;42;37
ITATIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;293;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
JAGUARETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;25;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
JAGUARIBARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;129;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;420;394;94%;14%;26%;60%;67%;81;84;93;87;48;58;78;69;70;84;73;63;42;37
JARDIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;356;327;92%;26%;22%;51%;62%;74;77;85;82;50;48;71;59;64;79;71;68;42;41
JATI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;107;97;91%;20%;16%;64%;72%;75;82;81;79;77;71;79;75;65;85;69;73;52;56
JUAZEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;820;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
JUCAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;300;290;97%;9%;13%;76%;73%;90;89;164;87;61;71;88;74;74;90;75;76;47;49
LIMOEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;586;544;93%;16%;24%;60%;68%;76;84;82;89;51;59;75;69;74;85;71;66;38;32
MADALENA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;271;209;77%;13%;22%;66%;71%;80;88;81;91;62;63;65;78;77;91;70;70;45;36
MARACANAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;333;82;25%;12%;26%;62%;68%;73;84;88;91;52;53;62;79;60;91;78;79;32;57
MARANGUAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;139;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
MARCO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;483;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
MARTINOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;206;155;75%;17%;16%;66%;71%;76;85;115;89;61;65;79;73;68;86;81;74;45;51
MASSAPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;473;346;73%;8%;21%;71%;71%;83;87;87;93;56;69;78;63;66;88;76;74;48;26
MAURITI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;582;535;92%;27%;25%;47%;61%;74;71;97;77;46;58;59;63;62;74;68;67;41;35
MERUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;229;220;96%;3%;7%;75%;85%;95;95;;95;83;83;84;71;85;95;89;96;73;72
MILAGRES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;42;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
MIRAIMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;19;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
MOMBACA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;22;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;
MONSENHOR TABOSA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;132;114;86%;12%;29%;59%;69%;75;82;76;88;58;60;64;72;71;87;73;75;49;31
