Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 56 (%);H 59 (%);H 60 (%);H 61 (%);H 62 (%);H 63 (%);H 64 (%);H 65 (%);H 66 (%);H 67 (%);H 68 (%)
PORTEIRAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;267;0;0%;0%;0%;0%;0%;;;;;;;;;;;
POTENGI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;67;0;0%;0%;0%;0%;0%;;;;;;;;;;;
POTIRETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;92;0;0%;0%;0%;0%;0%;;;;;;;;;;;
QUIXELO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;167;0;0%;0%;0%;0%;0%;;;;;;;;;;;
QUIXERAMOBIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;1155;914;79%;7%;24%;69%;77%;82;72;82;77;78;78;71;62;87;77;85
QUIXERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;180;0;0%;0%;0%;0%;0%;;;;;;;;;;;
REDENCAO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;360;332;92%;15%;37%;47%;65%;65;63;69;69;65;65;52;46;76;53;79
RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;77;0;0%;0%;0%;0%;0%;;;;;;;;;;;
SABOEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;210;156;74%;17%;28%;55%;67%;76;59;77;70;61;69;59;47;78;58;81
SALITRE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;306;272;89%;14%;32%;54%;68%;79;62;70;71;70;71;61;44;79;55;82
SANTANA DO ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;103;0;0%;0%;0%;0%;0%;;;;;;;;;;;
SANTANA DO CARIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;163;0;0%;0%;0%;0%;0%;;;;;;;;;;;
SAO BENEDITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;427;23;5%;30%;43%;26%;56%;64;48;78;38;52;48;52;52;78;26;65
SAO JOAO DO JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;64;62;97%;5%;23%;73%;77%;89;81;81;77;81;75;67;47;91;45;92
SENADOR POMPEU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;139;0;0%;0%;0%;0%;0%;;;;;;;;;;;
