Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 69 (%);H 70 (%);H 71 (%);H 72 (%);H 73 (%);H 74 (%);H 75 (%);H 76 (%);H 77 (%);H 78 (%);H 79 (%);H 80 (%);H 81 (%)
POTIRETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;79;57;72%;23%;28%;49%;68%;59;83;74;75;80;64;66;52;66;79;54;65;88
QUITERIANOPOLIS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;251;222;88%;20%;28%;52%;70%;69;68;70;70;78;75;77;78;65;84;50;61;91
QUIXADA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;675;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
QUIXELO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;240;192;80%;53%;37%;10%;46%;42;52;46;52;47;57;58;;38;55;20;41;
QUIXERAMOBIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1341;1035;77%;19%;36%;46%;70%;72;73;75;73;74;72;69;67;68;74;53;62;82
QUIXERE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;246;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
REDENCAO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;449;402;90%;39%;36%;25%;55%;54;61;51;57;54;63;63;;48;65;36;55;
RERIUTABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;213;210;99%;31%;40%;29%;60%;64;62;56;55;67;74;67;64;51;59;40;51;76
RUSSAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;69;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
SABOEIRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;243;162;67%;40%;38%;22%;55%;61;61;53;57;52;56;59;54;41;65;32;56;77
SALITRE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;319;282;88%;36%;30%;34%;60%;64;65;59;65;57;67;69;67;48;68;38;56;66
SANTA QUITERIA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;469;409;87%;36%;39%;25%;59%;64;55;53;60;70;75;59;50;53;66;41;51;73
SANTANA DO ACARAU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;352;167;47%;8%;25%;67%;78%;79;79;83;88;73;84;87;65;66;78;59;72;90
SANTANA DO CARIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;295;261;88%;56%;26%;17%;49%;55;49;52;54;44;46;50;39;40;51;35;56;76
SAO BENEDITO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;620;546;88%;34%;43%;23%;57%;60;62;60;58;55;63;64;39;49;69;36;54;70
SAO JOAO DO JAGUARIBE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;60;59;98%;32%;32%;36%;62%;63;61;62;70;66;75;70;;51;68;35;58;
SENADOR POMPEU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;270;223;83%;18%;44%;38%;67%;75;70;70;77;77;75;73;27;63;68;40;57;55
SOLONOPOLE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;217;210;97%;20%;50%;30%;65%;71;67;61;65;62;70;72;70;58;75;39;65;87
TABULEIRO DO NORTE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;343;163;48%;39%;39%;22%;55%;54;63;55;69;64;57;55;50;44;65;28;52;80
TAMBORIL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;311;64;21%;6%;33%;61%;75%;77;79;84;76;55;90;86;83;66;86;54;59;73
TARRAFAS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;98;86;88%;37%;37%;26%;56%;53;73;51;63;52;64;57;54;59;62;33;53;92
TAUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;661;534;81%;35%;39%;26%;58%;61;56;53;64;60;65;63;56;57;68;38;55;61
TEJUCUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;274;239;87%;33%;42%;24%;58%;60;62;60;66;57;64;63;49;47;62;38;55;86
TIANGUA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1219;1089;89%;38%;36%;26%;57%;57;61;58;62;56;64;58;30;48;67;39;55;57
TRAIRI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;675;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
UBAJARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;516;406;79%;22%;47%;31%;64%;67;69;68;72;69;69;66;56;57;73;36;54;76
UMARI;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;44;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
UMIRIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;247;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
URUBURETAMA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;285;43;15%;53%;37%;9%;47%;43;52;38;43;50;61;58;43;36;57;30;52;
URUOCA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;244;209;86%;36%;28%;36%;62%;62;65;58;64;54;74;65;70;54;65;43;59;74
VARJOTA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;266;240;90%;28%;34%;38%;66%;66;73;68;62;69;75;70;64;57;76;41;62;72
VICOSA DO CEARA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1015;902;89%;30%;34%;37%;64%;67;64;67;65;69;67;65;57;58;73;39;59;79
